typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","800","UGA","Uganda","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5817510222",,"5817510222","0","true","false",
"C","A","20140101","2014","52","2014","800","UGA","Uganda","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","6073527802",,"6073527802","0","true","false",
"C","A","20150101","2015","52","2015","800","UGA","Uganda","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5528117117",,"5528117117","0","true","false",
"C","A","20160101","2016","52","2016","800","UGA","Uganda","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4829459128",,"4829459128","0","true","false",
"C","A","20170101","2017","52","2017","800","UGA","Uganda","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","5595903639.36",,"5595903639.36","0","false","true",
"C","A","20170101","2017","52","2017","800","UGA","Uganda","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0 ","1000","Air","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","530744230.35",,"530744230.35","0","false","true",
"C","A","20170101","2017","52","2017","800","UGA","Uganda","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0 ","2100","Sea","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","1491697238.34",,"1491697238.34","0","false","true",
"C","A","20170101","2017","52","2017","800","UGA","Uganda","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0 ","3100","Railway","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","78241136.87",,"78241136.87","0","false","true",
"C","A","20170101","2017","52","2017","800","UGA","Uganda","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0 ","3200","Road","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","3493285005.87",,"3493285005.87","0","false","true",
"C","A","20170101","2017","52","2017","800","UGA","Uganda","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0 ","9100","Pipelines and cables","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","1936027.93",,"1936027.93","0","false","true",
