Date,Item_Description,HS_Code,Country_of_Origin,Quantity,Net_Mass_kg,Gross_Mass_kg,CIF_Value_USD,CIF_Value_UGX,Unit_Price_Actual_UGX,Unit_Price_Predicted_UGX,Tax_Rate,Currency_Code,Valuation_Label
2022-05-25,Food Products,0403,Japan,4118,8650,9009,164061.84,607028807.6,147408.65,123431.37,0.05,USD,
2024-09-20,Machinery,8430,Germany,1086,328,719,194865.18,721001180.11,663905.32,621355.2,0.15,USD,
2024-01-02,Electronics,8542,South Korea,4237,4580,4963,352181.72,1303072381.94,307546.0,280542.97,0.15,USD,
2023-08-15,Food Products,0403,Kenya,433,9751,9829,330043.93,1221162525.28,2820236.78,2473919.73,0.1,USD,
2023-10-10,Textiles,5408,Japan,2113,7346,7544,95633.52,353844028.13,167460.5,154614.21,0.05,USD,
2023-03-27,Electronics,8542,Kenya,3161,8287,8475,300886.4,1113279674.68,352192.24,382977.64,0.1,USD,
2023-03-03,Food Products,0403,USA,1155,2401,2515,212357.77,785723754.15,680280.31,553598.17,0.1,USD,1.0
2024-04-11,Electronics,8517,China,4310,7040,7397,59862.56,221491474.15,51390.13,51513.65,0.1,USD,
2024-02-21,Food Products,0702,Japan,1970,823,1172,142353.85,526709257.35,267365.11,269898.09,0.05,USD,
2023-07-19,Machinery,8481,Kenya,3661,9592,9606,381934.91,1413159169.91,386003.6,436765.07,0.2,USD,
2023-12-08,Electronics,8517,South Korea,1435,6597,6787,83184.33,307782031.38,214482.25,252199.84,0.1,USD,
2025-01-23,Machinery,8481,Kenya,1489,6568,7033,122901.13,454734186.73,305395.69,335611.54,0.15,USD,
2022-09-05,Electronics,8542,South Korea,4328,8006,8130,279492.0,1034120417.79,238937.25,227070.93,0.1,USD,
2023-12-18,Textiles,6110,China,2985,5696,6186,27901.67,103236178.68,34584.98,38740.05,0.1,USD,
2024-03-20,Electronics,8542,South Africa,2255,1808,2060,181587.25,671872836.91,297948.04,316586.48,0.15,USD,
2023-02-27,Electronics,8542,India,1001,3042,3290,250805.61,927980740.13,927053.69,992884.17,0.1,USD,
2023-03-30,Electronics,8523,India,1043,7092,7372,379354.98,1403613409.9,1345746.32,1413144.96,0.15,USD,
2022-07-13,Pharmaceuticals,2941,South Korea,2223,1955,2170,34408.85,127312745.26,57270.69,64912.16,0.05,USD,
2025-04-11,Food Products,0403,Germany,4093,8802,9244,494944.88,1831296049.7,447421.46,370524.58,0.05,USD,1.0
2025-04-18,Machinery,8479,South Africa,613,1060,1138,472640.24,1748768884.83,2852804.05,2880471.1,0.2,USD,
2024-11-10,Pharmaceuticals,3004,South Korea,2648,4124,4138,298795.18,1105542178.66,417500.82,476029.36,0.05,USD,
2024-05-21,Textiles,5407,India,1180,9948,10203,48822.14,180641909.21,153086.36,180767.69,0.05,USD,
2022-09-07,Food Products,0702,China,2443,2117,2420,468113.79,1732021028.62,708973.0,718769.81,0.05,USD,
2023-07-28,Electronics,8542,South Africa,3215,5198,5413,120355.49,445315296.1,138511.76,127374.38,0.1,USD,
2023-02-28,Textiles,6110,Kenya,1730,7930,8180,360133.25,1332493007.07,770227.17,734982.91,0.05,USD,
2024-09-07,Food Products,0702,China,3747,2685,2729,220870.83,817222054.7,218100.36,250628.49,0.1,USD,
2024-08-20,Pharmaceuticals,2937,South Africa,2214,1479,1878,472230.91,1747254363.0,789184.45,922245.8,0.05,USD,
2024-12-28,Textiles,5408,South Korea,2847,7944,8229,219180.36,810967339.74,284849.79,315522.2,0.1,USD,
2024-01-29,Pharmaceuticals,2937,Kenya,4561,7229,7418,346125.49,1280664303.92,280785.86,281701.98,0.05,USD,
2024-11-17,Textiles,5407,Kenya,3948,7595,7877,309439.7,1144926873.59,290001.74,250329.15,0.05,USD,
2024-07-28,Food Products,1701,Kenya,2534,1682,1874,185377.36,685896247.34,270677.29,303240.21,0.1,USD,
2023-01-18,Electronics,8542,Germany,1051,6154,6290,487589.05,1804079470.4,1716536.13,2013693.57,0.1,USD,
2022-10-30,Pharmaceuticals,3004,Germany,1868,2412,2757,109470.09,405039315.08,216830.47,240752.43,0.05,USD,
2022-07-24,Electronics,8517,Germany,1941,4876,5248,114087.44,422123521.78,217477.34,190992.0,0.1,USD,
2022-06-14,Machinery,8430,South Africa,2093,4362,4588,88828.33,328664837.04,157030.5,131705.3,0.2,USD,
2024-02-22,Food Products,0403,Japan,3050,2060,2362,246587.1,912372262.87,299138.45,290496.56,0.1,USD,
2025-04-05,Pharmaceuticals,3004,Germany,4268,2731,2994,253556.93,938160651.69,219812.71,229523.2,0.15,USD,
2022-11-30,Machinery,8430,South Africa,4346,302,629,211346.12,781980646.38,179931.12,176933.89,0.2,USD,
2023-03-16,Electronics,8542,South Korea,1164,733,1054,92237.31,341278053.88,293194.2,311321.05,0.15,USD,
