Date,Importer,Item Description,Quantity,Unit Price,Country of Origin,Tax Rate,Total Value
2023-05-31,Importer B,Textiles,554,503.11,USA,0.1,278722.94
2022-03-31,Importer B,Machinery,448,76.5,China,0.05,34272.0
2021-08-31,Importer A,Electronics,500,411.2,China,0.1,205600.0
2022-09-30,Importer C,Electronics,15,502.49,China,0.05,7537.35
2022-07-31,Importer A,Electronics,623,723.0,India,0.05,450429.0
2022-11-30,Importer B,Food Products,669,115.51,Germany,0.05,77276.19
2021-11-30,Importer B,Textiles,289,148.62,India,0.1,42951.18
2021-11-30,Importer A,Food Products,478,271.05,Germany,0.05,129561.90000000001
2022-12-31,Importer C,Electronics,231,273.83,Germany,0.1,63254.729999999996
2023-12-31,Importer B,Textiles,923,734.86,USA,0.2,678275.78
2022-12-31,Importer B,Electronics,420,258.22,USA,0.15,108452.40000000001
2021-03-31,Importer B,Food Products,157,636.77,Germany,0.15,99972.89
2022-10-31,Importer A,Food Products,550,499.33,Germany,0.05,274631.5
2021-02-28,Importer B,Food Products,441,577.56,India,0.1,254703.95999999996
2022-12-31,Importer C,Electronics,97,839.73,India,0.15,81453.81
2023-06-30,Importer B,Textiles,997,410.34,USA,0.1,409108.98
2021-02-28,Importer B,Textiles,411,773.2,China,0.1,317785.2
2022-09-30,Importer C,Electronics,951,427.82,Germany,0.05,406856.82
2023-09-30,Importer B,Textiles,289,360.33,India,0.15,104135.37
2021-12-31,Importer A,Electronics,254,959.04,USA,0.05,243596.16
2022-10-31,Importer A,Textiles,196,192.53,India,0.05,37735.88
2023-01-31,Importer A,Machinery,598,99.43,Germany,0.15,59459.14000000001
2023-03-31,Importer C,Machinery,834,773.28,Germany,0.15,644915.52
2023-04-30,Importer B,Food Products,522,77.57,South Africa,0.2,40491.53999999999
2022-04-30,Importer A,Machinery,517,838.71,China,0.2,433613.07
2022-03-31,Importer C,Machinery,635,442.82,South Africa,0.1,281190.7
2021-03-31,Importer B,Machinery,842,916.36,USA,0.15,771575.12
2021-07-31,Importer C,Electronics,865,724.32,India,0.2,626536.8
2022-09-30,Importer A,Machinery,118,614.3,USA,0.1,72487.4
2021-09-30,Importer A,Machinery,806,949.81,Germany,0.1,765546.86
2022-06-30,Importer A,Food Products,909,402.68,South Africa,0.1,366036.12
2021-04-30,Importer C,Machinery,159,954.55,South Africa,0.2,151773.44999999998
2023-01-31,Importer C,Machinery,815,143.65,South Africa,0.15,117074.75
2022-02-28,Importer A,Textiles,228,488.92,USA,0.05,111473.76000000001
2021-09-30,Importer C,Food Products,877,277.21,Germany,0.1,243113.16999999998
2023-02-28,Importer A,Food Products,216,544.44,India,0.2,117599.04000000001
2021-02-28,Importer A,Food Products,948,170.39,India,0.2,161529.72
2022-08-31,Importer B,Food Products,696,843.11,USA,0.05,586804.56
2023-04-30,Importer C,Food Products,15,847.94,South Africa,0.05,12719.1
2021-07-31,Importer A,Food Products,157,955.68,China,0.2,150041.75999999998
2021-08-31,Importer A,Electronics,648,163.13,USA,0.15,105708.23999999999
2023-11-30,Importer C,Machinery,261,627.1,USA,0.05,163673.1
2022-02-28,Importer B,Food Products,157,479.49,Germany,0.2,75279.93000000001
2022-05-31,Importer B,Machinery,47,350.94,India,0.05,16494.18
2023-12-31,Importer A,Machinery,324,358.02,USA,0.15,115998.48
2021-04-30,Importer C,Electronics,844,418.67,USA,0.1,353357.48000000004
2021-02-28,Importer B,Food Products,685,707.88,South Africa,0.05,484897.8
2021-06-30,Importer C,Textiles,130,602.3,South Africa,0.15,78299.0
2021-04-30,Importer C,Electronics,411,465.08,China,0.2,191147.88
2023-05-31,Importer A,Textiles,95,85.17,Germany,0.05,8091.150000000001
2022-06-30,Importer B,Machinery,627,86.99,China,0.05,54542.729999999996
2023-02-28,Importer A,Machinery,755,12.32,South Africa,0.2,9301.6
2023-10-31,Importer B,Electronics,932,968.02,India,0.1,902194.64
2021-10-31,Importer B,Electronics,292,15.2,South Africa,0.2,4438.4
2023-12-31,Importer B,Textiles,794,112.06,Germany,0.05,88975.64
2022-02-28,Importer B,Food Products,811,321.45,South Africa,0.2,260695.94999999998
2023-07-31,Importer B,Textiles,283,809.36,Germany,0.15,229048.88
2022-03-31,Importer C,Electronics,69,962.48,Germany,0.2,66411.12
2021-08-31,Importer A,Textiles,660,792.11,Germany,0.05,522792.60000000003
2022-02-28,Importer C,Electronics,11,693.65,Germany,0.2,7630.15
2022-11-30,Importer B,Textiles,254,526.09,Germany,0.1,133626.86000000002
